2026-03-29 12:16:19,821 | INFO     | qushield.scanner | scan completed
2026-03-29 12:16:19,823 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:16:19,888 | INFO     | qushield.scanner | Testing connectivity to depository.pnb.bank.in:443
2026-03-29 12:16:24,898 | INFO     | qushield.scanner | scan completed
2026-03-29 12:16:24,900 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:16:24,952 | INFO     | qushield.scanner | Testing connectivity to digi2wl.pnb.bank.in:443
2026-03-29 12:16:29,962 | INFO     | qushield.scanner | scan completed
2026-03-29 12:16:29,963 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:16:29,975 | ERROR    | qushield.scanner | Scan failed for digiagriprimeplus.pnb.bank.in:443: Could not resolve digiagriprimeplus.pnb.bank.in
2026-03-29 12:16:29,976 | INFO     | qushield.scanner | scan completed
2026-03-29 12:16:29,977 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:16:29,983 | INFO     | qushield.scanner | Testing connectivity to digidairykcc.pnb.bank.in:443
2026-03-29 12:16:34,995 | INFO     | qushield.scanner | scan completed
2026-03-29 12:16:34,997 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:16:35,046 | INFO     | qushield.scanner | Testing connectivity to digiel.pnb.bank.in:443
2026-03-29 12:16:40,055 | INFO     | qushield.scanner | scan completed
2026-03-29 12:16:40,056 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:16:40,067 | ERROR    | qushield.scanner | Scan failed for digifarmstay.pnb.bank.in:443: Could not resolve digifarmstay.pnb.bank.in
2026-03-29 12:16:40,068 | INFO     | qushield.scanner | scan completed
2026-03-29 12:16:40,068 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:16:40,073 | INFO     | qushield.scanner | Testing connectivity to digigodam.pnb.bank.in:443
2026-03-29 12:16:45,081 | INFO     | qushield.scanner | scan completed
2026-03-29 12:16:45,083 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:16:45,088 | INFO     | qushield.scanner | Testing connectivity to digigoldloan.pnb.bank.in:443
2026-03-29 12:16:50,098 | INFO     | qushield.scanner | scan completed
2026-03-29 12:16:50,100 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:16:50,306 | INFO     | qushield.scanner | Testing connectivity to digigrihavatika.pnb.bank.in:443
2026-03-29 12:16:55,315 | INFO     | qushield.scanner | scan completed
2026-03-29 12:16:55,316 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:16:55,368 | INFO     | qushield.scanner | Testing connectivity to digihltopup.pnb.bank.in:443
2026-03-29 12:17:00,378 | INFO     | qushield.scanner | scan completed
